title,price
ullamcorper purus sit,17.48
erat quisque erat eros,12.32
nulla tellus in,22.99
mi sit amet,22.61
vestibulum velit id pretium,20.14
sit amet cursus id,23.97
sed nisl nunc,20.4
dui,22.11
integer non,12.73
nisl venenatis,13.36
amet eleifend pede,20.49
at nulla,20.03
vulputate,23.63
at nunc commodo,18.67
in lacus curabitur,10.59
sit amet eros,14.58
quam,21.52
curabitur,16.05
lobortis sapien,22.48
metus arcu adipiscing molestie,12.11
tristique tortor eu pede,10.06
lacus,17.68
congue diam id ornare,21.31
dui vel,10.14
parturient montes nascetur ridiculus,17.18
vel,24.58
in lacus curabitur,13.46
congue eget semper rutrum,24.78
quam pharetra,18.01
pellentesque ultrices,13.73
